Nombre del sistema/proyecto,Upework
Requisito a probar,Agregar proyecto con usuario no autenticado
Autor del caso de prueba,Gerardos's Team
Fecha de creacion,25-jul-25
Ejecutor del caso de prueba,n/a
Fecha de ejecucion,n/a

Objetivo,Verificar que el sistema no permite agregar un proyecto si el usuario no está autenticado.
Condiciones de ejecucion,El estudiante no debe haber iniciado sesión en el sistema.
Entrada,Datos de proyecto válidos pero sin sesión activa.

No.,Accion,Resultado esperado,Resultado obtenido
1,El usuario accede a la sección de <Proyectos> sin haber iniciado sesión.,El sistema redirige automáticamente a la página de inicio de sesión o muestra un mensaje de error de autenticación,
2,El usuario intenta dar 'clic' en el botón <Agregar proyecto>.,El sistema no permite la acción y solicita autenticación antes de continuar,

Comentario de evaluacion,El sistema protege correctamente la funcionalidad para usuarios autenticados.
Aprobo,____
Fallo,____
Acciones correctivas,
Fecha de aprobacion del caso de prueba,
